product,count
Juniper Networks Contrail SD-WAN,1778
VMWare VeloCloud,975
Viprinet Virtual VPN Hub,696
Silver Peak Unity EdgeConnect,616
Riverbed SteelHead,541
Cradlepoint SD-WAN,479
Cisco SD-WAN,472
Barracuda CloudGen Firewall,452
Arista Networks EOS,350
Sonus SBC Edge,311
Fatpipe SYMPHONY SD-WAN,307
Versa Flex,207
Nuage Networks SD-WAN (VNS),199
Versa Director,187
Sonus SBC Management Application,133
128 Technology Networking Platform,132
Silver Peak Systems Unity Orchestrator,111
Fortinet FortiGate SD-WAN,89
Versa Analytics,76
Riverbed SteelConnect,54
Talari SD-WAN,47
Citrix Netscaler SD-WAN Center,46
Aryaka SD-WAN,39
CloudGenix SD-WAN,34
Versa Analytics Server,33
Gluware Control,24
InfoVista SALSA,22
Ecessa WANworX SD-WAN,6
Huawei SD-WAN,4
Citrix Netscaler SD-WAN,3
Teloip VINO SD-WAN,2
