product,vendor,query,port,proto,ip,lat,lng,country,vulnerabilities,nmap_scan
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,125.16.154.4,20.0,77.0,India,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': '', 'type': ''}], 'addresses': {'ipv4': '125.16.154.4'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'closed', 'reason': 'conn-refused', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-server-header': 'HID-Web', 'http-title': 'Did not follow redirect to https://125.16.154.4/'}}, 443: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-auth': '\nHTTP/1.1 401 Unauthorized\\x0D\n  Digest realm=Secure Access qop=auth nonce=fcfb93c8bc63ff5b1c0da1375f07d557\n', 'http-title': '401 - Unauthorized', 'ssl-cert': 'Subject: commonName=VertX_EVO_V1000/organizationName=NAS/stateOrProvinceName=Wales/countryName=GB\nNot valid before: 2000-01-01T00:02:28\nNot valid after:  2019-12-31T00:02:28', 'ssl-date': 'TLS randomness does not represent time'}}}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,80.14.30.57,48.85820000000001,2.3386999999999887,France,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'lstlambert-656-1-148-57.w80-14.abo.wanadoo.fr', 'type': 'PTR'}], 'addresses': {'ipv4': '80.14.30.57'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,75.149.179.70,26.937000000000012,-80.135,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': '75-149-179-70-Miami.hfc.comcastbusiness.net', 'type': 'PTR'}], 'addresses': {'ipv4': '75.149.179.70'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,66.75.41.33,32.8073,-117.13239999999999,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'cpe-66-75-41-33.san.res.rr.com', 'type': 'PTR'}], 'addresses': {'ipv4': '66.75.41.33'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'closed', 'reason': 'conn-refused', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-server-header': 'HID-Web', 'http-title': 'Did not follow redirect to https://cpe-66-75-41-33.san.res.rr.com/'}}, 443: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-auth': '\nHTTP/1.1 401 Unauthorized\\x0D\n  Digest nonce=2433390fe9c5402bd4ba25cddfc5e347 realm=Secure Access qop=auth\n', 'http-title': '401 - Unauthorized', 'ssl-cert': 'Subject: commonName=VertX_EVO_V1000/organizationName=NAS/stateOrProvinceName=Wales/countryName=GB\nNot valid before: 2000-01-01T00:02:31\nNot valid after:  2019-12-31T00:02:31', 'ssl-date': 'TLS randomness does not represent time'}}}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,63.147.218.8,41.1105,-95.934,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'cpnt-dhcp-63-147-218-8.bloombb.net', 'type': 'PTR'}], 'addresses': {'ipv4': '63.147.218.8'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'filtered', 'reason': 'host-unreach', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'filtered', 'reason': 'no-response', 'name': 'http', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 443: {'state': 'filtered', 'reason': 'host-unreach', 'name': 'https', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,64.183.78.125,34.086299999999994,-118.4896,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'rrcs-64-183-78-125.west.biz.rr.com', 'type': 'PTR'}], 'addresses': {'ipv4': '64.183.78.125'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,63.247.36.102,44.33600000000001,-89.7403,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'solarus-wau-dsl-pool4-102.solarus.net', 'type': 'PTR'}], 'addresses': {'ipv4': '63.247.36.102'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'filtered', 'reason': 'host-unreach', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'filtered', 'reason': 'host-unreach', 'name': 'http', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 443: {'state': 'filtered', 'reason': 'host-unreach', 'name': 'https', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,107.200.242.234,35.512699999999995,-77.4146,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': '107-200-242-234.lightspeed.wlfrct.sbcglobal.net', 'type': 'PTR'}], 'addresses': {'ipv4': '107.200.242.234'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,184.186.216.142,33.42230000000001,-111.8226,United States,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'wsip-184-186-216-142.ph.ph.cox.net', 'type': 'PTR'}], 'addresses': {'ipv4': '184.186.216.142'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'closed', 'reason': 'conn-refused', 'name': 'ssh', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}, 80: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-server-header': 'HID-Web', 'http-title': 'Did not follow redirect to https://wsip-184-186-216-142.ph.ph.cox.net/'}}, 443: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'lighttpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:lighttpd:lighttpd', 'script': {'http-title': '401 - Unauthorized', 'ssl-cert': 'Subject: commonName=VertX_EVO_V1000/organizationName=NAS/stateOrProvinceName=Wales/countryName=GB\nNot valid before: 2000-01-01T00:05:15\nNot valid after:  2019-12-31T00:05:15', 'ssl-date': 'TLS randomness does not represent time'}}}}"
VertX Door Controllers,HID,"""HID VertX"" port:4070",4070,vertx-edge,174.94.149.31,43.434200000000004,-79.8701,Canada,"{'shodan_vulnerabilities': None, 'vulners_vulnerabilities': {}}","{'hostnames': [{'name': 'okvlon30-2925434143.sdsl.bell.ca', 'type': 'PTR'}], 'addresses': {'ipv4': '174.94.149.31'}, 'vendor': {}, 'status': {'state': 'up', 'reason': 'user-set'}, 'tcp': {22: {'state': 'open', 'reason': 'syn-ack', 'name': 'ssh', 'product': 'Dropbear sshd', 'version': '2012.55', 'extrainfo': 'protocol 2.0', 'conf': '10', 'cpe': 'cpe:/o:linux:linux_kernel', 'script': {'ssh-hostkey': '\n  1040 d7:f2:4f:b1:8c:3a:91:6c:75:f1:fd:f6:86:8e:df:0b (RSA)'}}, 80: {'state': 'open', 'reason': 'syn-ack', 'name': 'http', 'product': 'Boa httpd', 'version': '', 'extrainfo': '', 'conf': '10', 'cpe': 'cpe:/a:boa:boa', 'script': {'http-robots.txt': '1 disallowed entry \n/', 'http-title': 'Index page'}}, 443: {'state': 'filtered', 'reason': 'no-response', 'name': 'https', 'product': '', 'version': '', 'extrainfo': '', 'conf': '3', 'cpe': ''}}}"
