port,count
443,8595
8443,531
9000,32
8080,30
3689,29
10000,26
1471,24
5000,23
5560,23
32400,23
9443,23
8123,22
3128,22
2082,22
3780,22
8001,22
2087,22
82,22
8089,21
5984,21
9295,21
4664,21
4443,21
8009,20
1935,20
23424,20
6664,20
10250,20
2480,20
7779,20
5357,20
5901,20
8889,20
7547,20
8086,19
9869,19
8081,19
16993,19
9200,19
83,19
1234,19
3000,19
5601,18
8880,18
9001,18
9002,18
8083,17
2086,17
7474,17
8139,17
4848,17
8888,17
4040,17
9981,17
81,16
8112,16
2376,16
9595,16
3541,16
8069,16
4567,16
5555,16
8098,15
5900,15
4022,15
37215,15
4782,15
16992,15
9944,15
88,15
1024,15
8181,14
10243,14
5800,14
13579,14
5986,14
7777,14
28017,14
444,14
3542,14
311,14
9943,14
84,14
631,14
8800,13
8000,13
5801,13
3749,13
1741,13
7657,13
9009,13
8140,13
1311,13
9191,13
7548,13
8008,12
7071,12
5001,12
5985,12
3001,11
80,11
9080,11
9090,11
8334,11
8010,11
3790,11
1400,10
51106,10
50070,10
8060,10
25105,10
8090,9
52869,8
8834,8
2083,8
7535,6
3562,5
2443,5
49153,5
2561,4
2079,4
7010,4
55553,4
3558,4
55443,4
3498,4
8222,4
5568,4
50050,4
9026,4
50000,3
9606,3
8105,3
2559,3
2650,3
9103,3
8015,3
8020,3
8097,3
2070,3
8159,3
2020,3
9011,3
5443,3
8802,3
8032,3
5673,3
8854,3
3307,3
1050,3
8408,3
8025,3
449,3
3554,3
2626,3
49152,3
9861,3
8420,3
9433,3
1167,3
3403,3
7778,3
6662,3
4445,3
8241,3
9199,3
4002,3
4808,3
646,3
2225,3
3052,3
7887,3
9021,3
8848,3
2570,3
4523,2
3067,2
8041,2
7500,2
6510,2
9029,2
4505,2
994,2
8863,2
9010,2
9550,2
8426,2
3114,2
9527,2
3406,2
3054,2
8686,2
6262,2
8867,2
8855,2
6550,2
9704,2
8108,2
5002,2
5906,2
8029,2
2554,2
4117,2
8101,2
6590,2
943,2
8402,2
9027,2
2057,2
8818,2
9046,2
2250,2
805,2
86,2
9004,2
2382,2
3090,2
2150,2
9084,2
7070,2
7003,2
2202,2
1947,2
2051,2
8851,2
3211,2
7537,2
2052,2
9032,2
7014,2
8023,2
9310,2
2221,2
8621,2
7443,2
2059,2
4190,2
9765,2
9018,2
8082,2
2006,2
8847,2
8513,2
9091,2
8835,2
9211,2
8870,2
5853,2
8432,2
340,2
1990,2
7979,2
8875,2
8236,2
9012,2
9093,2
9108,2
99,2
9201,2
8856,2
8058,2
8969,2
8004,2
8040,2
5605,2
3952,2
9210,2
8890,2
1250,2
8602,2
8413,2
9005,2
8109,2
675,2
5122,2
4999,2
2233,2
3005,2
8243,2
6543,2
180,2
8789,2
8663,2
8999,2
3549,2
1820,2
4430,2
8844,2
2063,2
3072,2
9206,2
7700,2
2551,2
8445,2
3109,2
7090,2
3070,2
8042,2
1110,2
8417,2
6006,2
8094,2
8446,2
8840,2
3337,2
90,2
6005,2
3060,2
9301,2
5400,2
8085,2
8022,2
2548,2
8423,2
8865,2
8807,2
9300,2
3079,2
6003,2
2525,2
9107,2
6002,2
3410,2
3559,2
85,2
21,1
9070,1
9111,1
5595,1
8824,1
3073,1
8238,1
8447,1
3407,1
8832,1
8766,1
8857,1
3084,1
2709,1
9089,1
3115,1
8026,1
6352,1
8859,1
211,1
8784,1
5604,1
8093,1
3270,1
8424,1
2220,1
5004,1
3690,1
8833,1
8072,1
8414,1
3105,1
9044,1
2558,1
4747,1
9101,1
24,1
8877,1
2556,1
8407,1
8100,1
9050,1
2053,1
2985,1
9955,1
9444,1
4524,1
1026,1
9219,1
9037,1
2030,1
1344,1
2049,1
9204,1
6605,1
8813,1
2552,1
